Simon Scarrow,Eagles of The Empire series#5 The Eagle’s Prey ( las garras del aguila),⭐️⭐️⭐️⭐️⭐️,Finished
Stephen Chbosky,The perks of being a wallflower,⭐️⭐️⭐️⭐️⭐️,Finished
Stella Müller-Madej,La Niña de la lista de Schindler,?,Finished
Sissel-Jo Gazan,The arc of swallow,⭐️⭐️⭐️,Finished
Stephen King,The Dark tower series #4.5 The wind through the keyhole,⭐️⭐️⭐️,Finished
Stephen King,The Dark tower series #3 The Waste Lands,?,Finished
Stephen King,The Dark tower series #4 Wizard And Glass,⭐️⭐️⭐️⭐️⭐️,Finished
Stephen King,The Dark tower series #1 The Gunslinger,⭐️⭐️⭐️,Finished
Stephen King,The Dark tower series #2 The Drawing of the Three,⭐️⭐️⭐️⭐️,Finished
Stephen King,The Dark tower series #7 The Dark Tower,?,Finished
Stephen King,The Dark tower series #6 Song of Susannah,?,Finished
Stephen King,The Dark tower series #5 Wolves of the Calla,⭐️⭐️⭐️⭐️,Finished
Stephenie Meyer,La segunda vida de Bree Tanner,⭐️⭐️⭐️⭐️,Finished
Stephen King,IT,⭐️⭐️⭐️⭐️,Finished
Stieg Larsson,millenium#2 The Girl Who Playes with Fire,⭐️⭐️⭐️⭐️,Finished
Stieg Larsson,millenium#1 Los hombres que no amaban a las mujeres,⭐️⭐️⭐️⭐️,Finished
Stephenie Meyer,Crespusculo,⭐️,Unfinished
Sophie Audouin,Tara Duncan ( les sortceliers ),⭐️⭐️⭐️⭐️⭐️,Finished
Sophie Kinsella,Finding Audrey,⭐️,Finished
Su Tong,Raise the Red Lantern,⭐️⭐️⭐️,Finished
Suzanne Collins,The Hunger Games #1-The Hunger Games,⭐️⭐️⭐️⭐️⭐️,Finished
Suzanne Collins,The Hunger Games- Mockingjay,⭐️⭐️⭐️⭐️⭐️,Finished
Suzanne Collins,The Hunger Games#2 Catching Fire,⭐️⭐️⭐️⭐️⭐️,Finished
Thomas Harris,Hannibal Lecter #4-Hannibal Rising,⭐️⭐️⭐️,Finished
Suzanne Collins,The Ballad of Songbirds and Snakes,⭐️⭐️⭐️,Finished
Thomas Harris,Hannibal Lecter #1 Red Dragon,⭐️⭐️⭐️⭐️⭐️,Finished
Thomas Harris,Hannibal Lecter #2 The Silence of the Lambs,⭐️⭐️⭐️⭐️⭐️,Finished
Thomas Harris,Hannibal Lecter #3 Hannibal,⭐️⭐️⭐️⭐️,Finished
Thomas Keneally,Searching for Schindler,⭐️⭐️⭐️,Unfinished
Tracy Ross,The source of all things,⭐️⭐️⭐️⭐️⭐️,Finished
Veronica Roth,Divergent Series #1- Divergent,⭐️⭐️⭐️,Finished
Victor Hugo,Les Miserables,⭐️⭐️⭐️⭐️⭐️,Finished
Veronica Roth,Divergent Series #3 Allegiant,⭐️⭐️⭐️,Finished
Veronica Roth,Divergent Series #2 Insurgent,⭐️⭐️⭐️,Finished
Victor Villaseñor,Rain of Gold,⭐️⭐️⭐️⭐️⭐️,Finished
Charles Dickens,Oliver Twist,?,Finished
Zoe Ferraris,City of Veils,⭐️⭐️⭐️⭐️,Finished
William Peter Blatty,The Exorcist,⭐️⭐️⭐️⭐️,Finished
Richelle Mead,Bloodlines #4 The Fiery Heart,⭐️⭐️⭐️,Finished
Scott Westerfeld,Impostors #1 Impostors,⭐️⭐️⭐️⭐️,Finished
Simon Scarrow,Eagles of The Empire series#6 The Eagle's Prophecy,⭐️⭐️⭐️⭐️⭐️,Finished
Scott Westerfeld,Impostors #2 Shatter City,⭐️⭐️⭐️⭐️,Finished
Dr. Seuss,Green Eggs and Ham,⭐️⭐️⭐️⭐️,
Dr. Seuss,One Fish two fish red fish blue fish,⭐️⭐️⭐️⭐️,
Simon Scarrow,The Eagle in the Sand,⭐️⭐️⭐️⭐️,Finished
Ethan Canin,A Doubter's Almanac,⭐️⭐️⭐️,Finished
C.S. Lewis,The Magician's Nephew (1),⭐️⭐️⭐️⭐️,Finished
C.S Lewis,"The Lion, the Witch and the Wardrobe (2)",⭐️⭐️⭐️⭐️,Finished
Oliver Sacks,Awakenings,,Reading
Patrick Süskind,The Story of a Murderer,⭐️⭐️⭐️⭐️⭐️,Finished
Daniel Keyes,Flowers for Algernon,⭐️⭐️⭐️⭐️⭐️,Finished
C.S Lewis,The Horse and His Boy (3),⭐️⭐️⭐️,Finished
Christopher Paolini,The Inheritance Cycle: Eragon #1,⭐️⭐️⭐️,Finished
Derib,Jo,⭐️⭐️⭐️⭐️⭐️,Finished
Rebecca Skloot,The Immortal Life of Henrietta Lacks,⭐️⭐️⭐️⭐️,Finished
Walter Tevis,The Queen’s Gambit,⭐️⭐️⭐️⭐️⭐️,Finished
Shreya Pandey,A Flirtationship,⭐️⭐️,Finished
Richelle Mead,Bloodlines #5 Silver Shadows,⭐️⭐️⭐️,Finished
Daniel Silva,Gabriel Allon #3 The Confessor,⭐️⭐️⭐️⭐️⭐️,Finished
J.K. Rowling,Harry Potter and the Cursed Child,⭐️⭐️⭐️⭐️,Finished
Daniel Silva,Gabriel Allon #4 A Death In Vienna ,⭐️⭐️⭐️⭐️⭐️,Finished
Masashi Kishimoto,"Naruto: Itachi's Story, Vol. 1: Daylight",⭐️⭐️⭐️⭐️,Finished
Masashi Kishimoto,Boruto #1-12,⭐️⭐️⭐️,Finished
Margaret Mayo,Urashima,⭐️⭐️⭐️⭐️⭐️,Finished
J.K Rowling,The Tales of Beedle the Bard,⭐️⭐️⭐️⭐️⭐️,Finished
J.K Rowling,Fantastic Beasts and Where to Find Them,⭐️⭐️⭐️⭐️,Finished
J.K Rowling,Fantastic Beasts: The Crimes of Grindelwald,⭐️⭐️⭐️⭐️,Finished
Marie Desplechin,Verte,⭐️⭐️⭐️⭐️,Finished
Axie Oh,The Girl Who Fell Beneath the Sea,⭐️⭐️⭐️⭐️,Finished
Julia Quinn,Bridgerton: #4 Romancing Mister Bridgerton,⭐️⭐️⭐️,Finished
Grégoire Solotareff,Laide au Bois Dormant,⭐️⭐️⭐️⭐️,Finished
Derf Backderf,My Friend Dahmer,⭐️⭐️⭐️,Finished
TJ Klune,Under the Whispering Door,⭐️⭐️⭐️⭐️⭐️,Finished
TJ Klune,The House in the Cerulean Sea,⭐️⭐️⭐️⭐️,Finished
Isabel Allende,Violeta,⭐️⭐️⭐️,Finished
Marissa Meyer,https://www.marissameyer.com/the-lunar-chronicles-books/: #2 Scarlet,⭐️⭐️⭐️,Finished
Julia Quinn,Bridgerton: #1 https://juliaquinn.com/books/the-duke-and-i/https://juliaquinn.com/books/the-duke-and-i/,⭐️⭐️⭐️,Finished
Julia Quinn,Bridgerton: #2 https://juliaquinn.com/books/the-viscount-who-loved-me/,⭐️⭐️⭐️,Finished
Julia Quinn,Bridgerton: #3 An Offer From a Gentleman,⭐️⭐️⭐️,Finished
Neal Shusterman,Arc of a Scythe #1: Scythe,⭐️⭐️⭐️⭐️,Finished
Colleen Hoover,It Ends with us #1: It Ends with Us,⭐️⭐️⭐️⭐️⭐️,Finished
Francine L. Zapater,Luna Azul #1: Luna Azul,⭐️⭐️⭐️,Finished
Marissa Meyer,https://www.marissameyer.com/the-lunar-chronicles-books/: #3 Cress,⭐️⭐️⭐️,Finished
Marissa Meyer,The Lunar Chronicles: #4 Winter,?,Reading
